品类,种类,类别编码,编号,品名,规格,单位,数量,进价,合计,零售价,合计,差价,毛利率
"  ","  ","  ",165,维他柠檬茶,250ml,盒,1,0.00,0.00,2.50,2.50,2.50,100%
"  ","  ","  ",1539,贝奇野菜胡萝卜复合蔬果汁饮料,450ml,瓶,1,3.97,3.97,5.50,5.50,1.53,0.28%
"  ","  ","  ",500352,茶π西柚茉莉花茶（农夫山泉）,500ml,瓶,1,0.00,0.00,5.50,5.50,5.50,100%
"  ","  ","  ",589,百事可乐,550ml,瓶,1,2.06,2.06,3.00,3.00,0.94,0.31%
"  ","  ","  ",182,康师傅冰红茶1L,1L,瓶,6,2.88,17.28,4.00,24.00,6.72,0.28%
"  ","  ","  ",153,可口可乐,330ml,罐,1,1.66,1.66,2.50,2.50,0.84,0.34%
"  ","  ","  ",167,维他柠檬茶,500ml,瓶,2,0.00,0.00,6.00,12.00,12.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,24.97,"  ",91.00,66.03,72.56%
酒水饮品,功能饮料,1215,187,维他命水柠檬 ,500ml,瓶,1,0.00,0.00,4.00,4.00,4.00,100%
"  ","  ","  ",403,维他命水柑橘,500ml,瓶,2,0.00,0.00,4.00,8.00,8.00,100%
"  ","  ","  ",159,雀巢咖啡(丝滑铁拿),268ml,瓶,1,0.00,0.00,5.50,5.50,5.50,100%
"  ","  ","  ",411,东鹏特饮,250ml,瓶,3,2.33,6.99,3.00,9.00,2.01,0.22%
"  ","  ","  ",198,宝矿力水特,500ml,瓶,1,0.00,0.00,4.00,4.00,4.00,100%
"  ","  ","  ",191,红牛,250ml,罐,3,0.00,0.00,5.50,16.50,16.50,100%
"  ","  ","  ",396,脉动菠萝口味,600ml,瓶,6,0.00,0.00,4.00,24.00,24.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,6.99,"  ",71.00,64.01,90.15%
酒水饮品,饮用水,1216,208,农夫山泉,550ml,瓶,29,0.93,26.97,2.00,58.00,31.03,0.54%
"  ","  ","  ",394,景田饮用纯净水,1.5L,瓶,2,2.58,5.16,3.00,6.00,0.84,0.14%
"  ","  ","  ",207,怡宝饮用纯净水,550ml,瓶,4,1.23,4.92,2.00,8.00,3.08,0.39%
"  ","  ","  ",200,怡宝饮用纯净水 ,1.5L,瓶,4,2.09,8.36,3.00,12.00,3.64,0.30%
"  ","  ","  ",288,怡宝纯净水,4.5L,瓶,3,0.00,0.00,9.00,27.00,27.00,100%
"  ","  ","  ",204,景田百岁山矿泉水,570ml,瓶,3,0.00,0.00,2.50,7.50,7.50,100%
"  ","  ","  ",202,农夫山泉,1.5L,瓶,5,0.00,0.00,3.00,15.00,15.00,100%
